コード	企業名	上場日	想定価格	公開価格	初値予想	初値	仮条件min	仮条件max	代表者名	代表者の上場時の年齢	設立年	従業員数	株主数	資本金	上場時発行済株数	公開株式数	公募%	売り出し%	オーバーアロットメント%	調達資金使途	想定時価総額	オーナー株%	社長_株%	役員_株%	家族_株%	親会社_株%	従業員_株%	VC_ファンド_株%	VC_ファンド除く_株%	大株主
5892	yutori	2023/12/27	2510	2520	2500	2829	2420	2520	片石 貴展（上場時30歳0カ月）／1993年生	30	2018	43	4	100000000	1565700	655500	13.0	74.0	13.0	借入金返済	3929907000	96.04	48.17	1.24	0	46.63	2.15	0	0	"(株)ZOZO	親会社	755100	46.63
片石貴展	代表取締役社長	515300	31.82
(株)pool	役員らが議決権の過半数所有	148100	9.15
瀬之口和磨	取締役副社長	116600	7.2
佐藤祐介	執行役員	11300	0.7
浜田栞	従業員	10500	0.65
船橋誠	従業員	9700	0.6
土田天晴	従業員	8900	0.55
穀本周	執行役員	8800	0.54
青島剣士郎	従業員	5700	0.35"
5870	ナルネットコミュニケーションズ	2023/12/25	1180	1040	956	956	870	1040	鈴木 隆志（上場時58歳11カ月）／1965年生	58	2019	101	5	50000000	5332100	2642500	2.1	84.8	13.0	新基幹システムの開発	6291878000	2.88	0.72	2.16	0	0	0.81	61.43	0	"ｼﾞｬﾌｺSV6投組	投資業(ﾌｧﾝﾄﾞ)	2602096	47.35
Mobility&MaintenanceJapan(株)	その他の関係会社の子会社	1899396	34.56
ｼﾞｬﾌｺSV6-S投組	投資業(ﾌｧﾝﾄﾞ)	650508	11.83
JIA1号投組	投資業(ﾌｧﾝﾄﾞ)	62100	1.13
あいぎんVF2号投組	投資業(ﾌｧﾝﾄﾞ)	62000	1.12
鈴木隆志	代表取締役社長	40000	0.72
東村大介	取締役	40000	0.72
服部正次	取締役	40000	0.72
永冶健	取締役	40000	0.72
大賀正寛	従業員	15000	0.27
加藤潤一	従業員	15000	0.27
鈴木達	従業員	15000	0.27"
5869	早稲田学習研究会	2023/12/22	910	970	1017	1118	910	970	柳沢 武志（上場時43歳8カ月）／1980年生	43	1993	381	2	50000000	10211250	3922100	3.8	83.1	13.0	新規開設の店舗設備への投資	9292237500	100.0	100.0	0	0	0	0	0	0	"吉原俊夫	代表取締役会長	5526250	54.93
(株)YMM	役員らが議決権の過半数所有	4535000	45.07"
5621	ヒューマンテクノロジーズ	2023/12/22	940	1224	1200	1194	940	1020	家崎 晃一（上場時62歳7カ月）／1961年生	62	2011	280	7	19930000	9100000	3781200	26.4	60.5	13.0	システム開発、マーケティング費用、海外市場開拓への投資	8554000000	67.66	67.66	0	0	0	11.11	0	0	"ﾆｭｰﾎﾗｲｽﾞﾝ(株)	役員らが議決権の過半数所有	3600000	44.44
恵志章夫	代表取締役会長	1800000	22.22
奥畑和行	特別利害関係者など	900000	11.11
飯泉満	従業員	900000	11.11
渡辺修次	特別利害関係者など	738000	9.11
家崎晃一	代表取締役社長	81000	1.0
伊藤忠商事(株)	特別利害関係者など	81000	1.0"
5619	マーソ	2023/12/21	2110	2260	2079	2079	2110	2260	西野 恒五郎（上場時45歳0カ月）／1978年生	45	2015	21	11	100000000	3531250	884400	8.5	78.5	13.0	システム開発投資、広告宣伝投資	7450937500	68.19	65.17	3.02	0	0	0	16.38	2.02	"西野恒五郎	代表取締役社長	1488750	40.13
三和ｼｽﾃﾑ(株)	役員らが議決権の過半数所有	774700	20.88
ｼﾞｬﾌｺSV4共有投組	投資業(ﾌｧﾝﾄﾞ)	375000	10.1
神田有宏	顧問先、元取締役	336700	9.08
Aflac Ventures LLC	投資業(ﾌｧﾝﾄﾞ)	232800	6.28
阿部順一	取締役副社長	154500	4.16
菅生淳一	取締役	90500	2.44
森ﾄﾗｽﾄ(株)	資本業務提携先	75000	2.02
(株)ｳｴｽﾄ･ﾌﾟﾗﾆﾝｸﾞ	顧問先	37500	1.01
吉田弘	取締役	21600	0.58
熊谷信太郎	元取締役	18750	0.51
山口博道	元取締役	18750	0.51
松尾清	顧問先	18750	0.51"
5618	ナイル	2023/12/20	1615	1680	1680	1540	1620	1680	高橋 飛翔（上場時38歳0カ月）／1985年生	38	2007	235	28	325054000	8535200	1518900	23.0	63.9	13.0	採用費・人件費、広告宣伝費	13784348000	44.79	43.13	1.66	0	0	0	29.730000000000004	0	"高橋飛翔	代表取締役社長	3884000	43.13
JICﾍﾞﾝﾁｬｰ･ｸﾞﾛｰｽ･ﾌｧﾝﾄﾞ1号投組	投資業(ﾌｧﾝﾄﾞ)	1245600	13.83
(株)SMBC信託銀行	投資業(ﾌｧﾝﾄﾞ)	608400	6.75
(株)ｾﾌﾟﾃｰﾆ･ﾎｰﾙﾃﾞｨﾝｸﾞｽ	取引先	412400	4.57
SBI AI&Blockchain投組	投資業(ﾌｧﾝﾄﾞ)	405200	4.49
榎並慶浩(受託者)	新株予約権信託の受託者	276000	3.06
EEI4号ｲﾉﾍﾞｰｼｮﾝ&ｲﾝﾊﾟｸﾄ投組	投資業(ﾌｧﾝﾄﾞ)	247600	2.74
DIMENSION投組	投資業(ﾌｧﾝﾄﾞ)	173600	1.92
(株)博報堂DYﾒﾃﾞｨｱﾊﾟｰﾄﾅｰｽﾞ	特別利害関係者など	173200	1.92
(株)ｱﾆｳﾞｪﾙｾﾙHOLDINGS	特別利害関係者など	162000	1.79
長沢斉	取締役	150000	1.66
(株)ﾀﾞｲﾚｸﾄﾏｰｹﾃｨﾝｸﾞﾐｯｸｽ	特別利害関係者など	148400	1.64"
5868	ロココ	2023/12/20	710	1128	1300	1100	900	940	長谷川 一彦（上場時71歳11カ月）／1951年生	72	1994	554	79	66500000	3500000	1552500	58.0	29.0	13.0	人材雇用・研修教育費、海外進出のための現地市場調査費、借入金返済	2485000000	81.27999999999997	74.91999999999997	6.36	0	0	0	0	0	"(株)ｲｯｼﾝ	役員らが議決権の過半数所有	1300000	46.16
長谷川一彦	代表取締役社長	640000	22.72
長谷川裕美	代表取締役の配偶者	100000	3.55
吉原美智代	専務取締役	98400	3.49
加藤芳男	特別利害関係者など	50000	1.78
西本憲二	常務取締役	42400	1.51
河村博文	取締役	38400	1.36
長谷川昭次	代表取締役の血族	30000	1.07
ﾛｺｺ社員持株会	特別利害関係者など	26000	0.92
長谷川正人	専務取締役、代表取締役の血族	20000	0.71
諏訪匡代	代表取締役の血族	20000	0.71
西村泉	特別利害関係者など	20000	0.71"
5867	エスネットワークス	2023/12/19	700	730	1700	1956	650	730	高畠 義紀（上場時48歳4カ月）／1975年生	48	1999	144	52	567000000	3048100	402500	12.4	74.5	13.0	人材採用費	2133670000	14.84	8.49	6.35	0	0	0	0	0	"(株)58	特別利害関係者など	1050000	31.43
(株)須原屋	特別利害関係者など	516100	15.45
佐藤英志	元代表取締役社長、共同創業者	224879	6.73
須原伸太郎	元代表取締役社長、共同創業者	184651	5.53
ｸﾞﾙｰﾌﾟ社員持株会	特別利害関係者など	167970	5.03
ｾｷｭｱ･ﾍﾞｰｽ(株)	役員らが議決権の過半数所有	163600	4.9
宮部賢一	取締役(監査等委員)など	157600	4.72
高畠義紀	代表取締役社長	120000	3.59
ﾊﾟｰｿﾙｷｬﾘｱ(株)	特別利害関係者など	100000	2.99
宇野康秀	特別利害関係者など	80000	2.39
白石武士	子会社の取締役、ｺﾗﾎﾞﾚｰﾄﾊﾟｰﾄﾅｰなど	54400	1.63
木地陽介	特別利害関係者など	51500	1.54"
5616	雨風太陽	2023/12/18	840	1044	1566	1320	840	870	高橋博之（上場時49歳4カ月）／1974年生	49	2015	39	60	381507000	2353050	598800	74.5	15.0	10.4	外部連携システムに係る構築費用、広告宣伝費、営業支援システム利用費用、東京オフィス移転費用	1976562000	34.93	24.65	10.28	0	0	0	18.5	0	"PNB-INSPiRE Ethical Fund1投組	投資業(ﾌｧﾝﾄﾞ)	316750	14.87
高橋博之	代表取締役	280750	13.18
小橋工業(株)	役員らが議決権の過半数所有	244500	11.47
(株)丸井ｸﾞﾙｰﾌﾟ	特別利害関係者など	166750	7.83
大塚泰造	取締役	164250	7.71
ｱｸﾞﾘﾋﾞｼﾞﾈｽ投資育成(株)<br>(農林中金信託口)	投資業(ﾌｧﾝﾄﾞ)	77250	3.63
本間勇輝	特別利害関係者など	75250	3.53
(株)ﾒﾙｶﾘ	特別利害関係者など	75000	3.52
(株)ﾕｰｸﾞﾚﾅ	特別利害関係者など	75000	3.52
永田暁彦	取締役	54750	2.57
(株)電通ｸﾞﾙｰﾌﾟ	特別利害関係者など	35500	1.67"
5891	魁力屋	2023/12/15	1290	1400	1700	1822	1300	1400	藤田 宗（上場時55歳4カ月）／1968年生	55	2003	283	6	100000000	5490000	1667500	72.0	15.0	13.0	直営店の新規出店のための設備投資、借入金の返済	7082100000	94.48999999999998	93.43999999999998	1.05	0	0	1.3699999999999999	0	0	"(株)ﾏﾙﾌｼﾞｺｰﾎﾟﾚｰｼｮﾝ	役員らが議決権の過半数所有	2948100	64.46
藤田宗	代表取締役社長	1290000	28.21
丸本純平	専務取締役	48000	1.05
田口剛	取締役副社長	35000	0.77
河原智彦	元従業員	25500	0.56
赤松繁男	従業員	22500	0.49
(株)大垣書店	特別利害関係者など	21200	0.46
大和商工(株)	取引先	21200	0.46
松浦基之	従業員	21000	0.46
浜口孝之	従業員	19000	0.42
後山智	元従業員	19000	0.42"
