コード	企業名	上場日	想定価格	公開価格	初値予想	初値	仮条件min	仮条件max	代表者名	代表者の上場時の年齢	設立年	従業員数	株主数	資本金	上場時発行済株数	公開株式数	公募%	売り出し%	オーバーアロットメント%	調達資金使途	想定時価総額	オーナー株%	社長_株%	役員_株%	家族_株%	親会社_株%	従業員_株%	VC_ファンド_株%	VC_ファンド除く_株%	大株主
343A	IACEトラベル	2025/04/07	1030						西沢 重治（上場時58歳2カ月）／1967年生	58	1982	119	33	80000000	4760000	1350900	71.1	15.9	13.0	システム開発費、広告宣伝費、人件費	4902800000	58.339999999999996	36.089999999999996	22.25	0	0	6.24	0	0	"西沢重治	代表取締役社長執行役員	1242560	32.37
灰田俊也	取締役専務執行役員	575280	14.98
IACEﾄﾗﾍﾞﾙ従業員持株会	特別利害関係者など	480000	12.5
横田卓也	取締役上席執行役員	184000	4.79
浅生田和人	監査役	144000	3.75
(株)ﾋﾞｼﾞﾈｽﾏﾈｼﾞﾒﾝﾄ	役員らが議決権の過半数所有	142880	3.72
岡部将朋	同社または子会社の従業員、元執行役員	95280	2.48
瀧上大輔	同社または子会社の従業員	80000	2.08
岡村拓樹	同社または子会社の従業員	80000	2.08
小原竜雄	同社または子会社の従業員	80000	2.08"
340A	ジグザグ	2025/03/31	1490						仲里 一義（上場時50歳11カ月）／1974年生	51	2015	52	24	90000000	2300440	866400	39.2	47.7	13.0	プロダクト開発（人件費や販売促進費など）、事業開発（人件費や広告宣伝費、販売促進費など）	3427655600	53.769999999999996	46.769999999999996	7.0	0	0	0	27.8	0	"MICｲﾉﾍﾞｰｼｮﾝ4号投組	投資業(ﾌｧﾝﾄﾞ)	635700	27.8
仲里一義	代表取締役	529350	23.15
仲里亜美	代表取締役の配偶者	300000	13.12
(株)Zｶﾝﾊﾟﾆｰ	役員らが議決権の過半数所有	240000	10.5
鈴木賢	取締役	60930	2.66
木村寿人	元取締役、従業員	59835	2.62
松本浩介	取締役	55050	2.41
今西隆幸	元取締役、従業員	51960	2.27
北村康晃	取締役	44040	1.93
海老根智仁	特別利害関係者など	30000	1.31
大谷寛	特別利害関係者など	30000	1.31
川田尚吾	特別利害関係者など	30000	1.31
小山太一	特別利害関係者など	30000	1.31
杉山全功	特別利害関係者など	30000	1.31"
341A	トヨコー	2025/03/28	700						豊沢 一晃（上場時48歳6カ月）／1976年生	49	1996	39	33	20000000	13026600	4255000	23.5	63.5	13.0	CoolLaser事業における応用開発、CoolLaser事業における新規拠点の設備投資、借入金返済	9118620000	48.95	38.53	10.42	0	0	2.37	3.25	13.829999999999998	"豊沢一晃	代表取締役CEO	5083025	38.53
豊沢弘康	元代表取締役	1135000	8.6
白井元	取締役CFO	984410	7.46
建装工業(株)	資本業務提携先	500000	3.79
(株)ﾄﾖｺｰ従業員持株会	特別利害関係者など	464850	3.52
大和ﾊｳｽｸﾞﾙｰﾌﾟ共創共生1号投組	投資業(ﾌｧﾝﾄﾞ)	428500	3.25
鈴与建設(株)	資本業務提携先	425500	3.23
鈴木紀行	取締役COO	390000	2.96
匿名	従業員	312685	2.37
前田建設工業(株)	資本業務提携先	300000	2.27
第一ｶｯﾀｰ興業(株)	資本業務提携先	300000	2.27
太平電業(株)	資本業務提携先	300000	2.27"
339A	プログレス・テクノロジーズグループ	2025/03/28	1890						中山 岳人（上場時52歳1カ月）／1973年生	52	2020	23	2	10000000	7779400	4378200	16.2	70.8	13.0	採用費・人件費などの運転資金、借入金返済	14703066000	4.15	3.42	0.73	0	0	0.24000000000000002	95.03	0	"ｼﾞｬﾌｺSV6投組	投資業(ﾌｧﾝﾄﾞ)	5657800	76.02
ｼﾞｬﾌｺSV6-S投組	投資業(ﾌｧﾝﾄﾞ)	1414400	19.01
中山岳人	代表取締役	250580	3.37
沢井大輔	取締役	37940	0.51
長友一郎	取締役	16120	0.22
匿名1	子会社の従業員	7000	0.09
匿名2	子会社の従業員	5020	0.07
村松英行	子会社の代表取締役	4000	0.05
匿名3	子会社の従業員	4000	0.05
匿名4	子会社の従業員	2500	0.03"
336A	ダイナミックマッププラットフォーム	2025/03/27	1130						吉村 修一（上場時42歳10カ月）／1982年生	43	2016	72	25	100000000	23158850	5363700	81.0	6.0	13.0	高精度３次元位置情報の整備・更新、海外におけるHDマップの整備・更新、研究開発	26169500500	2.64	2.64	0	0	0	0	43.230000000000004	0	"(株)INCJ	投資業(ﾌｧﾝﾄﾞ)	8840000	40.88
海外交通･都市開発事業支援機構	特別利害関係者など	3478350	16.09
三菱電機(株)	特別利害関係者など	1560000	7.21
三菱HCｷｬﾋﾟﾀﾙ(株)	特別利害関係者など	1000000	4.62
三井物産(株)	特別利害関係者など	710500	3.29
吉村修一	代表取締役社長など	571450	2.64
SBI4&5投組	投資業(ﾌｧﾝﾄﾞ)	508400	2.35
(株)ｾﾞﾝﾘﾝ	取引先	480000	2.22
(株)ﾊﾟｽｺ	特別利害関係者など	480000	2.22
ｱｲｻﾝﾃｸﾉﾛｼﾞｰ(株)	特別利害関係者など	400000	1.85
ｼﾞｵﾃｸﾉﾛｼﾞｰｽﾞ(株)	特別利害関係者など	320000	1.48
(株)ﾄﾖﾀﾏｯﾌﾟﾏｽﾀｰ	特別利害関係者など	320000	1.48"
338A	ZenmuTech	2025/03/27	1470				1500	1580	田口 善一（上場時63歳9カ月）／1961年生	64	2014	35	66	219650000	1312800	331200	72.5	14.5	13.0	人件費・人材採用費	1929816000	12.399999999999999	12.399999999999999	0	0	0	3.71	8.17	0	"岡積正夫	元代表取締役	145400	12.21
ｾｸﾞｴｸﾞﾙｰﾌﾟ(株)	特別利害関係者など	119800	10.06
田口善一	代表取締役社長CEO	84000	7.06
四国電力(株)	特別利害関係者など	65200	5.48
(株)Win4	役員らが議決権の過半数所有	63600	5.34
(株)ﾃｸﾉｽｼﾞｬﾊﾟﾝ	特別利害関係者など	61600	5.17
TNPｽﾚｯｽﾞｵﾌﾞﾗｲﾄ投組	投資業(ﾌｧﾝﾄﾞ)	53400	4.49
松倉泉	従業員	44200	3.71
北陸電力ﾋﾞｼﾞﾈｽ･ｲﾝﾍﾞｽﾄﾒﾝﾄ(同)	投資業(ﾌｧﾝﾄﾞ)	43800	3.68
ﾐﾂｲﾜ(株)	取引先	40000	3.36"
334A	ビジュアル・プロセッシング・ジャパン	2025/03/25	1430				1360	1430	三村 博明（上場時68歳11カ月）／1956年生	69	1994	62	6	35000000	1655000	486400	52.4	34.5	13.0	採用費・人件費、地代家賃、広告宣伝費用	2366650000	67.45	64.12	3.33	0	0	0	0	0	"(株)ｼｴﾙﾄｺﾐｭﾆｹｰｼｮﾝｽﾞ	役員らが議決権の過半数所有	640000	43.66
三村博明	代表取締役社長	280000	19.1
VPJ社員持株会	特別利害関係者など	248000	16.92
関郷	監査役	186000	12.69
吉川(戸籍名:高橋)美幸	取締役	26800	1.83
三村俊介	代表取締役の血族、従業員	20000	1.36
松本勝裕	取締役	8000	0.55
川畑耕史	執行役員	6000	0.41
鈴木優	執行役員	4000	0.27
谷本真基	執行役員	4000	0.27"
335A	ミライロ	2025/03/24	255				255	270	垣内 俊哉（上場時35歳11カ月）／1989年生	36	2010	50	39	112590000	10475000	2646300	47.2	39.7	13.0	ソフトウエア開発・改修費用、人材採用・人件費、ソフトウエア利用者登録作業費、長期借入金の返済、広告宣伝費、事務所設備への設備投資	2671125000	72.16	70.0	2.16	0	0	0	0	0	"垣内俊哉	代表取締役社長	3380000	35.1
民野剛郎	取締役副社長	3360000	34.9
谷間真	取締役	208000	2.16
大阪市高速電気軌道(株)	特別利害関係者など	200000	2.08
住友林業(株)	特別利害関係者など	200000	2.08
ﾔﾏﾄﾎｰﾙﾃﾞｨﾝｸﾞｽ(株)	特別利害関係者など	200000	2.08
(株)三菱UFJ銀行	取引先	192000	1.99
(株)ｴｽ･ｹｲﾌﾟﾗﾝﾆﾝｸﾞ	特別利害関係者など	157800	1.64
大亀雄平	元取締役	157800	1.64
樫野孝人	特別利害関係者など	157800	1.64
寺嶋正浩	特別利害関係者など	157800	1.64"
9388	パパネッツ	2025/03/21	960				700	740	伊藤 裕昭（上場時52歳0カ月）／1973年生	52	1995	100	23	50000000	1825000	230000	43.5	43.5	13.0	基幹システム構築費用	1752000000	92.41999999999999	63.56999999999999	28.85	0	0	0	0	0	"(株)花明	創業者の資産管理会社	55000	34.48
中本久富	創業者	31900	20.0
伊藤裕昭	代表取締役社長	14500	9.09
二田泰久	専務取締役	13300	8.34
宮崎恵子	常務取締役	12100	7.59
早坂貴幸	取締役	10300	6.46
柳沢謙介	取締役	10300	6.46
松本寝具(株)	取引先	2800	1.76
山内(株)	特別利害関係者など	2400	1.5
(株)RightArmｻｰﾋﾞｽ	取引先	2400	1.5"
332A	ミーク	2025/03/21	760				760	800	峯村 竜太（上場時44歳1カ月）／1981年生	44	2019	73	16	10000000	11388000	3659500	45.6	41.4	13.0	人件費・採用費、ネットワーク増強費、開発費	8654880000	12.01	12.01	0	0	0	0	12.32	27.189999999999994	"ｿﾆｰﾈｯﾄﾜｰｸｺﾐｭﾆｹｰｼｮﾝｽﾞ(株)	その他の関係会社	3342700	28.47
ｿﾆｰｾﾐｺﾝﾀﾞｸﾀｿﾘｭｰｼｮﾝｽﾞ(株)	その他の関係会社の子会社	1277300	10.88
峯村竜太	代表取締役執行役員社長	1010000	8.6
東京ｾﾝﾁｭﾘｰ(株)	資本提携先	1000000	8.52
(株)ﾌｧﾐﾘｰﾏｰﾄ	資本提携先	668100	5.69
SREﾎｰﾙﾃﾞｨﾝｸﾞｽ(株)	資本業務提携先	500000	4.26
MICｲﾉﾍﾞｰｼｮﾝ5号投組	投資業(ﾌｧﾝﾄﾞ)	500000	4.26
大阪ｶﾞｽ(株)	資本提携先	500000	4.26
SMBCﾍﾞﾝﾁｬｰｷｬﾋﾟﾀﾙ7号投組	投資業(ﾌｧﾝﾄﾞ)	500000	4.26
細井邦俊	取締役執行役員副社長	400200	3.41
加賀電子(株)	資本提携先	300000	2.56
TIS(株)	資本提携先	222700	1.9
日本生命保険(相)	特別利害関係者など	222700	1.9
ﾔﾝﾏｰﾍﾞﾝﾁｬｰｽﾞ2号投組	投資業(ﾌｧﾝﾄﾞ)	222700	1.9
みずほ成長支援第5号投組	投資業(ﾌｧﾝﾄﾞ)	222700	1.9"
